step,H_B_biased,H_A_biased,S_B_biased,S_A_biased,H_Gini_biased,S_Gini_biased,H_B_unbiased,H_A_unbiased,S_B_unbiased,S_A_unbiased,H_Gini_unbiased,S_Gini_unbiased
34,7.653906249999999,7.917326732673266,10.582999999999993,13.654062499999998,-0.017070305399307206,-0.0018215681161976274,7.86796875,7.862314356435643,12.754999999999995,13.182374999999997,-0.01527425795457434,-0.0002696019668776724
35,7.669791666666666,7.919740099009901,10.596499999999994,13.760249999999996,-0.016134553942897076,-0.002064719101123603,7.877083333333334,7.86559405940594,12.833749999999995,13.277249999999997,-0.014412326190294627,-0.0006823058637985223
36,7.669531249999999,7.925680693069307,10.622999999999992,13.864499999999998,-0.01553291436551765,-0.0023594452263131197,7.860937499999999,7.874876237623762,12.958249999999996,13.360312499999996,-0.014545076344605067,-0.0006812852506419407
37,7.685156249999999,7.92759900990099,10.669749999999992,13.962750000000002,-0.015006778919052643,-0.0027532217390814078,7.875520833333333,7.877351485148514,13.004999999999995,13.462999999999997,-0.014240656341246655,-0.0005653895627981974
38,7.689322916666666,7.932240099009901,10.672749999999992,14.07375,-0.015720084711372664,-0.0018409775600941969,7.890364583333333,7.879331683168315,13.025749999999993,13.573374999999997,-0.013642181958903508,-0.00014309985628180755
39,7.690625,7.9373143564356425,10.723249999999993,14.172125000000001,-0.01569640175159541,-0.0021213716451509313,7.8861979166666645,7.885767326732672,13.159249999999997,13.653124999999998,-0.014152390040388799,-0.000480740500282163
40,7.717187499999999,7.9363861386138606,10.836499999999992,14.255437499999998,-0.015104670458432041,-0.002161220264300965,7.901302083333332,7.887561881188119,13.237749999999997,13.746687499999997,-0.0135107284986439,-0.0006150356543470523
41,7.705208333333334,7.944987623762375,10.815499999999993,14.3719375,-0.013721238265845433,-0.0022877516809229298,7.9140625,7.889603960396038,13.317499999999995,13.840562499999997,-0.01314738482196011,-0.0017211532511403108
42,7.711979166666666,7.949319306930692,10.818499999999993,14.481999999999998,-0.014147844377668847,-0.002844573905580641,7.898437499999999,7.898143564356435,13.385749999999996,13.937624999999999,-0.013181275480489208,-0.0020889782856316134
43,7.719010416666666,7.953341584158415,10.823499999999992,14.5915625,-0.013830637870099317,-0.0034822842256259268,7.903645833333333,7.901485148514851,13.495999999999995,14.025124999999997,-0.013320062263506223,-0.0015971492819322275
44,7.71796875,7.95934405940594,10.896999999999993,14.6834375,-0.013492133198534057,-0.0036506661927380958,7.914843749999999,7.903279702970295,13.541749999999997,14.128437499999997,-0.012413256593510849,-0.0023762659605598155
45,7.728385416666668,7.962685643564356,10.918249999999993,14.789625000000001,-0.013377868572944129,-0.0031305265298405167,7.906770833333333,7.909962871287128,13.691249999999998,14.20525,-0.013470503265122905,-0.0017767852394442037
46,7.721875,7.969863861386137,10.881999999999994,14.910500000000003,-0.013231452554514217,-0.0029025615393341473,7.911979166666666,7.91342821782178,13.764999999999995,14.302437499999998,-0.012188929187491732,-0.002555572580389545
47,7.714583333333333,7.977289603960395,10.94374999999999,15.007125,-0.013605590493071033,-0.0022512830719049037,7.9260416666666655,7.914727722772277,13.864499999999998,14.393249999999998,-0.012828272429865213,-0.001761882764654379
48,7.723697916666666,7.979888613861385,11.02999999999999,15.096750000000002,-0.012784382210901892,-0.002462295391853493,7.927083333333333,7.919368811881187,13.937999999999997,14.490062499999999,-0.012321711053737897,-0.0018429186384926503
49,7.738541666666666,7.981559405940592,11.043249999999992,15.2061875,-0.012338088696769937,-0.002979611927422497,7.914062499999999,7.927722772277227,14.022499999999997,14.584187499999999,-0.012826487993842346,-0.0016843164488299573
50,7.728906249999999,7.989108910891088,10.991749999999993,15.331437500000002,-0.011889827626383178,-0.0026137967988384813,7.927864583333332,7.92914603960396,14.082749999999997,14.684250000000002,-0.01275683259973009,-0.001947831803871889
51,7.740885416666667,7.991707920792078,11.031499999999992,15.433312500000005,-0.012437225799548075,-0.00234144108239223,7.914583333333332,7.937128712871286,14.135499999999997,14.7864375,-0.012857912716821272,-0.0022864869936034243
52,7.73359375,7.999071782178218,11.056249999999991,15.539125000000004,-0.011830947018784344,-0.0021643822285052298,7.914843749999998,7.94214108910891,14.183499999999999,14.890250000000002,-0.012542963877584419,-0.0023624304185396873
53,7.762760416666666,7.997896039603959,11.089999999999991,15.643125000000005,-0.011700622426204774,-0.0018865806889529508,7.925781249999999,7.9444306930693065,14.261249999999997,14.9866875,-0.011908659022648682,-0.002154828320396729
54,7.762239583333333,8.00414603960396,11.076499999999992,15.759875000000005,-0.01076810510574662,-0.0016523726320901864,7.911718749999999,7.952599009900989,14.293,15.0945,-0.012814585103370158,-0.002374516211112748
55,7.770312499999999,8.008415841584158,11.079249999999993,15.872875000000004,-0.011723209464126479,-0.000981388480067599,7.913541666666666,7.956930693069307,14.442,15.173250000000001,-0.011758448028583647,-0.0022584281626406052
56,7.7749999999999995,8.013304455445544,11.105499999999992,15.978812500000004,-0.01189224730312329,-0.0014281598757676854,7.934895833333331,7.956497524752473,14.587750000000002,15.252375000000002,-0.011383983979578401,-0.0023737421004070792
57,7.784635416666666,8.016769801980198,11.12974999999999,16.085187500000007,-0.012731761621635142,-0.0014028130196566682,7.929166666666666,7.962623762376237,14.691500000000001,15.34275,-0.01154713933787485,-0.0024825866885784466
58,7.7893229166666655,8.02134900990099,11.147749999999991,16.193125000000006,-0.011708843145120863,-0.0013929501681039993,7.954166666666666,7.961200495049504,14.824000000000002,15.425312500000002,-0.011869146403512632,-0.002676422161312793
59,7.8078125,8.02283415841584,11.24124999999999,16.281437500000006,-0.012882626181631354,-0.0009889612005185055,7.943749999999999,7.968378712871286,14.964,15.506000000000004,-0.01158721503330758,-0.0028539707486881553
60,7.8127604166666655,8.027660891089107,11.21224999999999,16.400562500000007,-0.012537463688270054,-0.0005527992761783013,7.949218749999999,7.9713490099009885,15.03475,15.604500000000005,-0.011118650449975516,-0.003054186261946763
61,7.8205729166666655,8.031683168316832,11.263499999999992,16.50068750000001,-0.011994328100461147,-0.000773149661074519,7.946354166666666,7.976547029702969,15.133250000000002,15.696062500000005,-0.010438757331493256,-0.0023942086180896095
62,7.830989583333332,8.03490099009901,11.316749999999992,16.60075000000001,-0.01205730857017792,-0.0005839329771389555,7.96015625,7.977784653465346,15.22775,15.788937500000005,-0.010668570676163747,-0.0024970146778339644
63,7.821614583333333,8.043316831683168,11.34699999999999,16.70587500000001,-0.011413883073461924,-2.954119520791686e-05,7.983072916666664,7.977289603960394,15.352250000000003,15.874625000000005,-0.010371033039205828,-0.0028282689131048557
64,7.833854166666666,8.04634900990099,11.31224999999999,16.82800000000001,-0.01160778772226769,-0.00033842771155207364,7.967447916666665,7.9859529702970296,15.424000000000001,15.974062500000004,-0.01077537457406295,-0.0024117406967325253
65,7.835416666666666,8.05204207920792,11.309499999999991,16.94262500000001,-0.011740879101673452,-0.0002973286545270493,7.970312499999999,7.990408415841583,15.489250000000004,16.073812500000003,-0.010287354990577863,-0.0033903045077677985
66,7.8625,8.05154702970297,11.360249999999992,17.04368750000001,-0.011738333177380567,-0.0006813258313949596,7.97578125,7.99424504950495,15.527250000000002,16.180562500000004,-0.010055695996595962,-0.0037104467940610383
67,7.862239583333332,8.057920792079207,11.37474999999999,17.153625000000012,-0.012032227396560008,-0.00030770541041452433,7.975520833333332,7.999628712871286,15.579250000000002,16.28450000000001,-0.009973370856785504,-0.004477170307462193
68,7.864062499999999,8.06404702970297,11.44974999999999,17.24862500000001,-0.01176166727928578,-0.0006484692815210531,7.9916666666666645,8.001175742574256,15.721250000000005,16.36562500000001,-0.010639505084788142,-0.0048824256701617995
69,7.860156249999999,8.071782178217822,11.379499999999991,17.379687500000014,-0.011402927974200429,-0.0005737685920276394,8.010937499999999,8.001732673267327,15.820750000000002,16.457500000000007,-0.010361273192978068,-0.004517140075259575
70,7.876562499999999,8.075,11.39699999999999,17.487812500000015,-0.01216916348343268,-0.0009741773793536326,8.003645833333332,8.008477722772275,15.963500000000003,16.538875000000008,-0.01025508114217207,-0.005224606972807719
71,7.8791666666666655,8.081311881188117,11.493999999999993,17.576375000000013,-0.011681175007771228,-0.0014506017762944581,8.004427083333331,8.013242574257424,16.111750000000004,16.619250000000008,-0.010139757599964971,-0.005221856790422377
72,7.884374999999999,8.087561881188117,11.598999999999991,17.662687500000015,-0.011182756521360976,-0.001942025659652494,8.010677083333333,8.016955445544554,16.243250000000003,16.702937500000008,-0.010385026354364805,-0.005813936548070514
73,7.8984375,8.091769801980197,11.589249999999991,17.778437500000013,-0.011608583240736714,-0.001200119705452078,8.020052083333331,8.019616336633662,16.297500000000003,16.80612500000001,-0.010413637667244385,-0.005719133880893637
74,7.890364583333333,8.100990099009898,11.593749999999991,17.890500000000017,-0.011754728275365849,-0.0007514949357079987,8.023177083333332,8.024009900990098,16.345250000000007,16.91137500000001,-0.00994558410239471,-0.005329314537612798
75,7.897916666666666,8.106930693069305,11.673749999999991,17.982250000000015,-0.011575054544552944,-0.0006752394508553842,8.029427083333331,8.027784653465345,16.456500000000005,17.00062500000001,-0.010187690736288793,-0.004761712783717563
76,7.914322916666666,8.111014851485146,11.67624999999999,18.094375000000017,-0.012109358065215375,-0.0009121380664158678,8.02473958333333,8.03428217821782,16.50250000000001,17.10681250000001,-0.011331078936065522,-0.004809626485418784
77,7.910937499999999,8.11967821782178,11.66724999999999,18.210687500000017,-0.011114504430912366,-0.0016688113832682512,8.039322916666665,8.036571782178218,16.575250000000008,17.204812500000013,-0.011075051946597575,-0.004198964804524835
78,7.918749999999999,8.125866336633662,11.656999999999991,18.326625000000018,-0.01196536030966722,-0.0012871262365604594,8.042708333333332,8.041707920792078,16.652750000000008,17.30275000000001,-0.010684148024720482,-0.004573971844928779
79,7.934635416666666,8.130074257425742,11.72249999999999,18.423062500000018,-0.011275929713131174,-0.0015950860360769278,8.0375,8.049257425742573,16.71925000000001,17.403187500000012,-0.010932291537218773,-0.004310574294583731
80,7.934374999999998,8.1384900990099,11.778249999999991,18.52275000000002,-0.01225315768029336,-0.0018493043202310365,8.048958333333331,8.05309405940594,16.83375000000001,17.493187500000012,-0.011546787874271915,-0.004177420469665244
81,7.962760416666666,8.140222772277227,11.771249999999991,18.637000000000018,-0.011504299204924623,-0.0012378771247433425,8.07265625,8.054764851485148,16.91425000000001,17.58981250000001,-0.011445676453798622,-0.0037169071940508836
82,7.963802083333332,8.148762376237622,11.841999999999992,18.73100000000002,-0.01147353095245432,-0.0014917277505013475,8.063802083333332,8.064294554455444,16.995000000000008,17.687437500000016,-0.012063639294660306,-0.0036834269286766105
83,7.9807291666666655,8.153155940594058,11.84699999999999,18.84225000000002,-0.011011603992586215,-0.0008729648229681979,8.067968749999999,8.070853960396038,17.09000000000001,17.780812500000014,-0.012535835099066918,-0.003770296695791183
84,7.998437499999999,8.157363861386138,11.887999999999991,18.945375000000023,-0.012628979863046565,-0.000571929234226291,8.066666666666665,8.078403465346533,17.21150000000001,17.867437500000015,-0.01212900020430527,-0.0037600408767354647
85,7.99140625,8.167759900990099,11.957999999999991,19.04112500000002,-0.012725660507259685,-0.0004576470254475723,8.084895833333333,8.08168316831683,17.346500000000013,17.952187500000015,-0.012264930774655743,-0.0035378412936983386
86,7.996874999999998,8.175123762376236,11.91874999999999,19.165562500000025,-0.014439803952879905,-0.0006938141362143643,8.087499999999999,8.08892326732673,17.440750000000012,18.045375000000018,-0.012454510332379301,-0.003250717595240029
87,8.019791666666665,8.178712871287127,12.00424999999999,19.258187500000023,-0.013082625610564282,-0.0007295562518952266,8.117968749999998,8.089727722772276,17.47400000000001,18.154187500000017,-0.012189764859205804,-0.0029779652739044074
88,8.032291666666666,8.185148514851484,12.032749999999991,19.365750000000027,-0.013208918806248294,-0.0009322607498121308,8.111197916666665,8.100061881188116,17.50975000000001,18.263062500000018,-0.012591228308360654,-0.0033713450453833425
89,8.033854166666666,8.194616336633663,12.027999999999988,19.480437500000026,-0.013646342060940158,-0.0007995088924649588,8.120833333333332,8.106868811881187,17.616750000000014,18.35343750000002,-0.011601072192661724,-0.0031000900796985496
90,8.041666666666666,8.202846534653464,12.101749999999992,19.575187500000023,-0.013829531687857121,-0.0008812754072067301,8.130729166666667,8.1134900990099,17.716250000000013,18.44550000000002,-0.012518424748669378,-0.003290296535726111
91,8.05234375,8.210643564356435,12.127749999999992,19.682687500000025,-0.013563298798936472,-0.0005116114617784587,8.137499999999998,8.120544554455444,17.838000000000015,18.533187500000018,-0.013181368325168006,-0.0032590946034472584
92,8.060156249999999,8.218997524752474,12.14924999999999,19.791375000000027,-0.013990217988642544,-0.0005049307477707288,8.135937499999999,8.129888613861384,17.962500000000013,18.62012500000002,-0.012265091839307315,-0.0033407829689646768
93,8.056510416666667,8.230569306930692,12.191999999999991,19.893250000000027,-0.01453374343521833,-0.0005569035035144924,8.137239583333333,8.139047029702969,18.094250000000017,18.70531250000002,-0.013292251833830947,-0.0029380646931889496
94,8.058072916666665,8.241336633663364,12.236999999999991,19.996000000000027,-0.01549734345582273,-0.0003100839288231528,8.135677083333333,8.14931930693069,18.212000000000018,18.79337500000002,-0.012848269851596298,-0.0027561077469200022
95,8.065104166666666,8.251608910891088,12.323749999999992,20.08706250000003,-0.015546069768008004,-0.0005629828858770611,8.105989583333331,8.167759900990099,18.267000000000017,18.896562500000023,-0.013806066773746547,-0.0033779051338127036
96,8.086197916666665,8.258539603960394,12.318249999999992,20.202625000000026,-0.016000805427058673,-0.0009691139954095596,8.127864583333333,8.173700495049504,18.313750000000017,19.001750000000023,-0.014402307437935488,-0.0034259097282411306
97,8.080208333333333,8.27184405940594,12.306249999999991,20.319875000000028,-0.015814266458612843,-0.0011418204694624969,8.133593749999998,8.184096534653463,18.427000000000017,19.091562500000023,-0.014246336122528817,-0.003312178082300199
98,8.101302083333332,8.278960396039603,12.32974999999999,20.42862500000003,-0.017107779401687055,-0.0013572905839538882,8.158333333333331,8.190717821782176,18.56750000000002,19.174500000000023,-0.014285790213207845,-0.0034831497236670504
99,8.12890625,8.284220297029702,12.281499999999992,20.556312500000033,-0.017572821767784415,-0.0012678102357768178,8.127083333333331,8.210705445544553,18.66625000000002,19.267000000000024,-0.0153720079564106,-0.004000473968302905
100,8.140624999999998,8.293811881188118,12.33349999999999,20.656812500000033,-0.017271889066356887,-0.0010853102466019332,8.161979166666667,8.21503712871287,18.81600000000002,19.347250000000024,-0.014849671231040147,-0.004098451223948845
101,8.136458333333332,8.307920792079205,12.35074999999999,20.766375000000036,-0.018143111782477347,-0.0011516002253285128,8.170572916666664,8.226113861386137,18.894500000000022,19.445937500000024,-0.014871489084590576,-0.00424767592504007
102,8.152343749999998,8.317388613861384,12.379999999999994,20.872687500000033,-0.018909017946582583,-0.0009506849065017796,8.162239583333331,8.241274752475245,18.953500000000023,19.549812500000026,-0.01585243310924974,-0.004376858864005407
103,8.129166666666665,8.336571782178215,12.401249999999994,20.980312500000036,-0.020369171663603178,-0.0008205741130057964,8.176302083333331,8.25191831683168,19.04250000000002,19.645250000000022,-0.016352489863306386,-0.004213404047181266
104,8.133333333333333,8.349752475247524,12.46849999999999,21.07725000000003,-0.018934606774030423,-0.0011082224690656486,8.170312499999998,8.268749999999997,19.24700000000002,19.712437500000025,-0.017475666224234326,-0.004661878451630673
105,8.154427083333331,8.360272277227722,12.587499999999993,21.161375000000035,-0.020863723222065263,-0.0010049494513179958,8.190104166666664,8.279950495049503,19.328250000000022,19.809875000000027,-0.017840984181925947,-0.005072885147525483
106,8.173697916666667,8.371349009900989,12.63724999999999,21.26400000000003,-0.022241396068831448,-0.00033509607879767423,8.199218749999998,8.293007425742571,19.359750000000023,19.919437500000026,-0.018671969788519562,-0.005223327022592482
107,8.16875,8.388551980198018,12.621999999999991,21.381375000000034,-0.022050366327795955,-0.00012985557451794473,8.176562499999998,8.313799504950493,19.468000000000025,20.010437500000027,-0.018934530525070974,-0.005529919178773969
108,8.159895833333332,8.406745049504948,12.607249999999995,21.499062500000036,-0.022812853272084502,0.0001014669864659503,8.192447916666664,8.325742574257424,19.552000000000024,20.10618750000003,-0.01919794521785748,-0.005523903057460852
109,8.16640625,8.421410891089106,12.601249999999993,21.613750000000035,-0.02354520779461206,2.0118619471175368e-05,8.190104166666664,8.341831683168316,19.569250000000025,20.21912500000003,-0.02038213817411908,-0.005747646117431549
110,8.150520833333331,8.442574257425742,12.647249999999993,21.715687500000037,-0.024852006200441146,0.00039565370314544935,8.169791666666663,8.362623762376236,19.724000000000025,20.29862500000003,-0.020719695877774513,-0.005428526484242273
111,8.171093749999999,8.456311881188116,12.609249999999992,21.83881250000004,-0.02540854663722761,0.00016598642518088312,8.17864583333333,8.377103960396038,19.778000000000024,20.40306250000003,-0.02129706799376416,-0.005369980101637012
112,8.179427083333332,8.473081683168315,12.620999999999992,21.94825000000004,-0.026800563166086377,-4.7899197323138017e-05,8.188020833333331,8.392388613861383,19.901750000000025,20.49012500000003,-0.023133527471672334,-0.004972719285112958
113,8.179687499999998,8.49207920792079,12.63474999999999,22.056687500000038,-0.026956268308013398,-0.00023391234514659896,8.192447916666664,8.409220297029702,19.91025000000003,20.607125000000032,-0.023273089057794287,-0.00504944485837477
114,8.181510416666665,8.511757425742571,12.677999999999992,22.157687500000037,-0.02894150041132285,-0.0003752131479264928,8.21223958333333,8.423019801980194,19.96950000000003,20.710812500000035,-0.02493226106614329,-0.005282312991336192
115,8.175520833333332,8.533601485148512,12.726499999999993,22.258000000000038,-0.02980496110385884,-0.00024680002161980597,8.238541666666665,8.435581683168314,20.025000000000027,20.815437500000034,-0.025351555476169206,-0.005441543808862213
116,8.194270833333333,8.550061881188116,12.718749999999993,22.372375000000044,-0.03215446989123706,-1.2796178390742293e-05,8.227083333333331,8.457425742574255,20.16300000000003,20.899187500000036,-0.027270390576712687,-0.005354319714532853
117,8.220312499999999,8.564665841584157,12.706999999999994,22.48881250000004,-0.032169590694883135,0.0004628173939301134,8.249218749999997,8.471349009900988,20.214000000000027,21.004187500000036,-0.02751346589628295,-0.005074489773891149
118,8.189322916666667,8.593688118811878,12.748249999999992,22.592187500000044,-0.033787821231674287,0.0008453892180726645,8.24739583333333,8.492264851485146,20.226750000000028,21.11906250000003,-0.030336061691483337,-0.0054720662254185825
